Source: CPS Annual Social and Economic (March) Supplement 202003
Weight used: FSUP_WGT
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming"
"","main reason for moving (NXTRES)","","","","","","","","","","","","","","","","","","","","",""
"Different State","109860","0","0","14491","21100","0","22057","0","0","15680","0","7453","3964","0","6269","0","0","4988","10990","0","0","2868"
"Same County","606088","0","44071","100698","43355","11932","21110","1954","4259","0","0","56374","139198","19035","34867","18912","66873","12162","0","4812","0","26476"
" -> Total -> Total Arkansas","2831784","2515095","13556","57425","35070","7232","28665","0","13165","6274","2967","38805","66094","4476","7267","0","10096","2577","0","4815","0","18205"
"Not Elsewhere Classified","2516832","2515095","663","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1074","0","0","0","0"
"Different County, Same State","73731","0","3426","5860","1281","0","12693","0","0","3204","0","29295","14008","0","0","0","1222","0","0","1603","0","1139"
"Different State","55697","0","0","8167","9590","1585","3792","0","9898","0","2967","3400","8426","0","2000","0","868","0","0","0","0","5004"
"Same County","185524","0","9467","43398","24199","5647","12180","0","3267","3070","0","6110","43660","4476","5267","0","8006","1503","0","3212","0","12062"
" -> Total -> Total California","38032946","34752958","153617","260856","280774","169057","421407","27566","243424","16442","5004","226193","534899","73560","272112","4085","320080","118882","0","47317","11706","93007"
"Not Elsewhere Classified","34842137","34752958","4821","2501","23956","0","34953","2119","5691","0","0","6320","0","0","0","0","0","6798","0","0","0","2020"
"Different County, Same State","740429","0","27406","33026","76168","46948","137158","15459","48035","2086","0","38070","77807","13969","69679","0","45371","70705","0","14032","0","24510"
"Different State","136774","0","0","2145","18312","8356","84611","3224","0","3472","0","1787","0","0","4086","0","0","10781","0","0","0","0"
"Same County","2313606","0","121390","223184","162338","113753","164685","6764","189698","10884","5004","180016","457092","59591","198347","4085","274709","30598","0","33285","11706","66477"
" -> Total -> Total Colorado","5724078","5126562","166841","39470","87674","61410","11792","6323","5425","13961","4470","0","66224","7126","69747","3227","5254","21593","7586","6097","0","13296"
"Not Elsewhere Classified","5128903","5126562","0","0","0","0","2341","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Different County, Same State","244711","0","58052","21288","53566","37235","0","0","0","0","0","0","0","3352","48623","0","0","16498","0","6097","0","0"
"Different State","123252","0","41004","0","22811","0","5220","6323","0","13961","4470","0","0","3774","7834","0","0","5095","7586","0","0","5174"
"Same County","227212","0","67785","18182","11297","24175","4231","0","5425","0","0","0","66224","0","13290","3227","5254","0","0","0","0","8122"
" -> Total -> Total Connecticut","3310136","3084816","33309","22436","11745","16977","0","1682","13127","1652","0","9685","76431","3997","0","0","2283","26635","0","5361","0","0"
"Not Elsewhere Classified","3086468","3084816","0","0","0","0","0","0","0","1652","0","0","0","0","0","0","0","0","0","0","0","0"
"Different County, Same State","58734","0","13838","0","7326","13244","0","0","7737","0","0","3818","8492","1934","0","0","0","2345","0","0","0","0"
"Different State","12427","0","0","0","2634","0","0","1682","0","0","0","5867","0","0","0","0","0","2244","0","0","0","0"
"Same County","152507","0","19471","22436","1785","3733","0","0","5390","0","0","0","67939","2063","0","0","2283","22046","0","5361","0","0"
" -> Total -> Total Delaware","925506","853072","10524","671","3489","12338","19691","0","5840","1585","0","628","0","989","1103","1899","3591","0","0","737","0","9349"
"Not Elsewhere Classified","858705","853072","0","0","726","0","4907","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Different County, Same State","4145","0","0","0","1457","0","2314","0","0","0","0","0","0","0","0","374","0","0","0","0","0","0"
"Different State","35345","0","1580","671","0","4740","9366","0","5840","1585","0","314","0","0","1103","0","1684","0","0","737","0","7725"
"Same County","27311","0","8944","0","1306","7598","3104","0","0","0","0","314","0","989","0","1525","1907","0","0","0","0","1624"
" -> Total -> Total District of Columbia","671649","584779","1538","0","215","4680","24848","5553","4244","211","2614","6720","17098","3760","5888","0","3223","3533","385","204","0","2156"
"Not Elsewhere Classified","590513","584779","0","0","0","0","3271","0","0","0","870","986","0","0","0","0","0","349","0","0","0","258"
"Different County, Same State","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Different State","26806","0","578","0","0","1573","9274","5140","2661","0","810","0","1053","308","1655","0","185","3184","385","0","0","0"
"Same County","54330","0","960","0","215","3107","12303","413","1583","211","934","5734","16045","3452","4233","0","3038","0","0","204","0","1898"
" -> Total -> Total Florida","20664546","18752582","21729","294762","219464","60066","104149","20439","52404","94523","20313","184613","322706","42194","162094","6181","140676","41028","49432","19695","21485","34011"
"Not Elsewhere Classified","18791338","18752582","0","17479","2756","0","0","0","0","4630","0","0","5432","0","2966","0","0","2774","0","2719","0","0"
"Different County, Same State","291480","0","0","42643","64074","11325","26676","12418","9781","0","0","51960","17656","0","18904","0","29706","0","6337","0","0","0"
"Different State","264268","0","0","10557","65170","3346","48224","0","0","46091","0","0","7988","0","26402","0","3002","10393","43095","0","0","0"
"Same County","1317460","0","21729","224083","87464","45395","29249","8021","42623","43802","20313","132653","291630","42194","113822","6181","107968","27861","0","16976","21485","34011"
" -> Total -> Total Georgia","9954887","8820401","34604","105298","75471","46937","167795","29312","84152","0","0","75389","135134","59432","67168","18495","86435","66415","3153","25452","0","53844"
"Not Elsewhere Classified","8864214","8820401","0","0","0","0","19432","0","4000","0","0","0","0","0","0","0","0","6439","0","0","0","13942"
"Different County, Same State","390946","0","21932","17922","29912","5962","26477","9039","53330","0","0","42179","27221","27918","0","11043","43585","41355","3153","12198","0","17720"
"Different State","201991","0","0","15160","26226","0","106113","17156","0","0","0","8910","5508","0","0","7452","0","0","0","13254","0","2212"
"Same County","497736","0","12672","72216","19333","40975","15773","3117","26822","0","0","24300","102405","31514","67168","0","42850","18621","0","0","0","19970"
" -> Total -> Total Hawaii","1325039","1221964","3536","955","20388","2473","13728","0","11526","5768","0","3935","10373","10614","6671","0","8158","1045","0","1699","0","2206"
"Not Elsewhere Classified","1226449","1221964","2663","0","0","0","0","0","0","1822","0","0","0","0","0","0","0","0","0","0","0","0"
"Different County, Same State","7309","0","0","0","0","0","2100","0","0","3422","0","0","0","1355","432","0","0","0","0","0","0","0"
"Different State","15830","0","0","0","911","0","10416","0","0","0","0","0","0","0","1738","0","388","626","0","0","0","1751"
"Same County","75451","0","873","955","19477","2473","1212","0","11526","524","0","3935","10373","9259","4501","0","7770","419","0","1699","0","455"
" -> Total -> Total Idaho","1812627","1596917","24407","23881","7851","11683","19263","3668","13645","6376","8890","17991","11776","7884","10845","3485","8142","5997","1967","15271","0","12688"
"Not Elsewhere Classified","1601404","1596917","559","0","1066","0","1901","0","0","0","0","0","0","0","527","0","0","0","0","0","0","434"
"Different County, Same State","26008","0","1899","532","0","1196","4413","2013","5931","2071","0","4194","0","0","1586","0","0","2173","0","0","0","0"
"Different State","43756","0","5250","1587","2784","2615","11799","1655","3127","4055","4668","0","0","0","0","0","0","0","1059","0","0","5157"
"Same County","141459","0","16699","21762","4001","7872","1150","0","4587","250","4222","13797","11776","7884","8732","3485","8142","3824","908","15271","0","7097"
" -> Total -> Total Illinois","12266905","11405886","84295","108240","43594","24774","94738","3856","36553","0","0","96164","152762","0","16266","0","18693","63084","2993","2603","42038","70366"
"Not Elsewhere Classified","11452051","11405886","0","0","0","0","31245","0","0","0","0","0","0","0","0","0","0","14920","0","0","0","0"
"Different County, Same State","188139","0","6334","58182","21419","4667","29388","0","6756","0","0","5657","8093","0","3646","0","2863","11307","2993","0","10676","16158"
"Different State","74596","0","0","0","8434","12505","19041","0","12090","0","0","2468","9874","0","0","0","0","10184","0","0","0","0"
"Same County","552119","0","77961","50058","13741","7602","15064","3856","17707","0","0","88039","134795","0","12620","0","15830","26673","0","2603","31362","54208"
" -> Total -> Total Indiana","6755158","6005079","76628","92365","89120","8939","82396","0","60223","5774","0","64204","87753","14554","57172","0","82099","2842","0","16134","0","9876"
"Not Elsewhere Classified","6011585","6005079","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2842","0","0","0","3664"
"Different County, Same State","206502","0","32839","9879","24259","0","9122","0","32924","5774","0","34898","12032","0","12176","0","26423","0","0","6176","0","0"
"Different State","93345","0","0","5862","15213","0","51329","0","0","0","0","3619","0","6355","5204","0","4566","0","0","0","0","1197"
"Same County","443726","0","43789","76624","49648","8939","21945","0","27299","0","0","25687","75721","8199","39792","0","51110","0","0","9958","0","5015"
" -> Total -> Total Iowa","3148341","2762416","41922","28445","32587","5706","60605","2857","9568","0","0","22038","89626","8413","29586","5604","34936","9856","0","0","0","4176"
"Not Elsewhere Classified","2764827","2762416","0","0","1198","0","1213","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Different County, Same State","95214","0","17327","8629","0","2316","23238","0","4102","0","0","0","7164","6889","10960","5604","8985","0","0","0","0","0"
"Different State","54870","0","0","2635","11527","0","22470","2857","0","0","0","0","2421","0","2857","0","7397","2706","0","0","0","0"
"Same County","233430","0","24595","17181","19862","3390","13684","0","5466","0","0","22038","80041","1524","15769","0","18554","7150","0","0","0","4176"
" -> Total -> Total Kansas","2745581","2435172","20356","42084","16539","20700","16674","14430","5812","0","1761","18350","37722","12518","40427","0","12025","43592","0","1933","0","5486"
"Not Elsewhere Classified","2436305","2435172","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1133","0","0","0","0"
"Different County, Same State","113398","0","0","32737","4041","6383","0","8417","4839","0","0","9678","1418","0","3842","0","4321","37722","0","0","0","0"
"Different State","53504","0","14043","2658","6881","2227","12210","2213","973","0","0","0","4679","0","1176","0","0","958","0","0","0","5486"
"Same County","142374","0","6313","6689","5617","12090","4464","3800","0","0","1761","8672","31625","12518","35409","0","7704","3779","0","1933","0","0"
" -> Total -> Total Kentucky","4369551","3969376","29211","16414","20506","31986","45849","45678","16741","0","0","0","92664","0","20531","11804","6934","3320","0","25773","0","32764"
"Not Elsewhere Classified","3969376","3969376","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Different County, Same State","60438","0","0","0","6691","5936","14428","0","2629","0","0","0","0","0","0","0","2629","3320","0","19298","0","5507"
"Different State","99228","0","17869","0","9536","6631","28659","36533","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Same County","240509","0","11342","16414","4279","19419","2762","9145","14112","0","0","0","92664","0","20531","11804","4305","0","0","6475","0","27257"
" -> Total -> Total Louisiana","4430518","4068023","22856","48059","15396","16638","28024","18608","26713","1649","0","24055","64513","28046","11753","0","20598","23832","1958","3318","726","5753"
"Not Elsewhere Classified","4085238","4068023","0","13994","0","0","0","2035","0","0","0","0","0","0","0","0","0","0","0","0","0","1186"
"Different County, Same State","99867","0","2754","1786","6016","12111","11481","9188","8478","0","0","11769","12104","10672","871","0","1830","2922","0","3318","0","4567"
"Different State","43263","0","3415","0","2761","3473","12386","0","2098","0","0","0","0","0","1024","0","4367","11781","1958","0","0","0"
"Same County","202150","0","16687","32279","6619","1054","4157","7385","16137","1649","0","12286","52409","17374","9858","0","14401","9129","0","0","726","0"
" -> Total -> Total Maine","1311449","1173314","18511","1069","11814","11841","19611","0","14304","0","0","0","26233","8417","6605","0","7971","2783","0","0","0","8976"
"Not Elsewhere Classified","1174143","1173314","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","829"
"Different County, Same State","42317","0","8850","0","3401","1800","9412","0","7039","0","0","0","8627","1355","1833","0","0","0","0","0","0","0"
"Different State","31764","0","8571","0","4789","0","4908","0","0","0","0","0","0","3789","0","0","0","2783","0","0","0","6924"
"Same County","63225","0","1090","1069","3624","10041","5291","0","7265","0","0","0","17606","3273","4772","0","7971","0","0","0","0","1223"
" -> Total -> Total Maryland","6095042","5593105","28694","30233","15986","36634","58543","0","47006","0","0","81354","39396","42619","38239","0","37410","24078","0","0","0","21745"
"Not Elsewhere Classified","5622859","5593105","0","0","0","0","1684","0","0","0","0","0","0","0","0","0","0","14098","0","0","0","13972"
"Different County, Same State","123846","0","19009","9866","0","4669","0","0","17195","0","0","4249","0","32439","6772","0","29647","0","0","0","0","0"
"Different State","79325","0","0","2106","2239","12398","42858","0","0","0","0","4678","0","0","5066","0","0","9980","0","0","0","0"
"Same County","269012","0","9685","18261","13747","19567","14001","0","29811","0","0","72427","39396","10180","26401","0","7763","0","0","0","0","7773"
" -> Total -> Total Massachusetts","6873634","6240942","16410","54492","11223","94881","82301","12586","37433","0","0","57888","75029","11453","52768","2415","42704","50182","0","23164","0","7763"
"Not Elsewhere Classified","6299272","6240942","9231","0","5899","3456","5714","6607","0","0","0","0","3686","0","0","0","0","23737","0","0","0","0"
"Different County, Same State","151722","0","2803","5288","0","12819","24848","3305","31882","0","0","20063","22643","0","13372","2415","10907","0","0","1377","0","0"
"Different State","60657","0","1639","0","0","2958","27166","0","1596","0","0","5156","0","0","11527","0","0","4049","0","6566","0","0"
"Same County","361983","0","2737","49204","5324","75648","24573","2674","3955","0","0","32669","48700","11453","27869","0","31797","22396","0","15221","0","7763"
" -> Total -> Total Michigan","9781751","8814646","14579","141044","73025","77968","127037","0","52621","0","0","64545","67464","87018","59581","0","92145","12412","0","19522","0","78144"
"Not Elsewhere Classified","8814646","8814646","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Different County, Same State","352485","0","6172","16720","37633","23327","54549","0","30476","0","0","58545","25091","30519","0","0","52316","0","0","5948","0","11189"
"Different State","124298","0","0","10672","2489","2436","66374","0","0","0","0","6000","7109","0","12073","0","0","0","0","13574","0","3571"
"Same County","490322","0","8407","113652","32903","52205","6114","0","22145","0","0","0","35264","56499","47508","0","39829","12412","0","0","0","63384"
" -> Total -> Total Minnesota","5694276","5349438","19567","49368","57270","17815","37878","0","42743","8150","0","20778","60083","8430","10156","0","0","4086","0","6344","0","2170"
"Not Elsewhere Classified","5370658","5349438","2019","7301","0","0","11900","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Different County, Same State","79215","0","5659","9698","29985","8197","0","0","5724","0","0","0","11171","0","6611","0","0","0","0","0","0","2170"
"Different State","47584","0","0","1521","13338","1594","24003","0","0","0","0","0","7128","0","0","0","0","0","0","0","0","0"
"Same County","196819","0","11889","30848","13947","8024","1975","0","37019","8150","0","20778","41784","8430","3545","0","0","4086","0","6344","0","0"
" -> Total -> Total Mississippi","2790631","2473328","24222","43195","33792","13974","16588","9383","1762","1201","12665","19325","36200","15663","29182","9593","23663","14802","0","2874","0","9219"
"Not Elsewhere Classified","2480726","2473328","0","0","0","0","7398","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Different County, Same State","51696","0","0","7108","2685","640","6565","0","0","0","0","10697","0","761","2471","0","12674","858","0","2874","0","4363"
"Different State","39453","0","0","2595","6433","4912","0","8284","0","1201","12665","0","0","0","0","0","3363","0","0","0","0","0"
"Same County","218756","0","24222","33492","24674","8422","2625","1099","1762","0","0","8628","36200","14902","26711","9593","7626","13944","0","0","0","4856"
" -> Total -> Total Missouri","5999521","5346524","34110","104384","57887","41606","26297","0","20895","0","7475","102817","146543","25947","19248","0","55716","2948","0","7124","0","0"
"Not Elsewhere Classified","5349052","5346524","0","0","2528","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Different County, Same State","88762","0","14717","8613","0","11966","8402","0","16144","0","0","0","17742","3427","0","0","4803","2948","0","0","0","0"
"Different State","73739","0","0","4256","7128","19010","17895","0","0","0","7475","11661","6314","0","0","0","0","0","0","0","0","0"
"Same County","487968","0","19393","91515","48231","10630","0","0","4751","0","0","91156","122487","22520","19248","0","50913","0","0","7124","0","0"
" -> Total -> Total Montana","1074247","963608","4095","12383","16576","3129","13758","4207","5630","2215","1059","5044","10713","4317","8578","630","5560","8624","0","1010","0","3111"
"Not Elsewhere Classified","964667","963608","0","0","0","0","0","0","0","0","1059","0","0","0","0","0","0","0","0","0","0","0"
"Different County, Same State","23982","0","0","534","7844","2511","2855","2540","1472","913","0","0","1485","1494","0","0","0","925","0","504","0","905"
"Different State","33600","0","1197","2694","7213","0","9903","0","809","762","0","0","2222","1076","844","0","0","5680","0","0","0","1200"
"Same County","51998","0","2898","9155","1519","618","1000","1667","3349","540","0","5044","7006","1747","7734","630","5560","2019","0","506","0","1006"
" -> Total -> Total Nebraska","1846236","1647375","6863","7787","16495","15509","27224","24049","5069","3694","0","16840","25545","7778","8611","0","18735","2684","0","5358","6620","0"
"Not Elsewhere Classified","1664602","1647375","853","0","0","0","0","15167","1207","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Different County, Same State","34693","0","3458","0","2925","0","12037","7695","0","0","0","2660","5918","0","0","0","0","0","0","0","0","0"
"Different State","22304","0","0","0","3051","0","4199","1187","1810","3694","0","0","1329","896","3454","0","0","2684","0","0","0","0"
"Same County","124637","0","2552","7787","10519","15509","10988","0","2052","0","0","14180","18298","6882","5157","0","18735","0","0","5358","6620","0"
" -> Total -> Total Nevada","3022422","2733263","7218","27790","10829","16198","20169","16307","4323","1058","0","10715","63274","27062","36252","1863","30599","1005","4678","6487","0","3332"
"Not Elsewhere Classified","2734355","2733263","0","0","1092","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Different County, Same State","22201","0","0","0","0","0","0","0","0","0","0","3120","0","10137","0","0","5437","1005","0","2502","0","0"
"Different State","65797","0","0","1033","8812","5213","8568","16307","0","1058","0","0","2062","3847","5567","0","6685","0","4678","0","0","1967"
"Same County","200069","0","7218","26757","925","10985","11601","0","4323","0","0","7595","61212","13078","30685","1863","18477","0","0","3985","0","1365"
" -> Total -> Total New Hampshire","1328714","1238169","7165","2746","8357","5446","8821","0","1727","2306","3911","5152","8728","10094","559","0","12702","908","5869","0","0","6054"
"Not Elsewhere Classified","1244907","1238169","0","0","0","0","6738","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Different County, Same State","7343","0","0","0","0","0","801","0","0","0","1986","1486","0","1562","0","0","0","0","0","0","0","1508"
"Different State","33813","0","500","0","5927","801","1282","0","0","2306","0","2287","0","2749","559","0","7490","908","5869","0","0","3135"
"Same County","42651","0","6665","2746","2430","4645","0","0","1727","0","1925","1379","8728","5783","0","0","5212","0","0","0","0","1411"
" -> Total -> Total New Jersey","8210260","7732958","8107","40450","9985","5326","42293","20980","46556","0","0","99946","124351","28808","40402","0","0","0","7398","2700","0","0"
"Not Elsewhere Classified","7738371","7732958","0","0","0","0","0","5413","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Different County, Same State","164383","0","2805","4725","4043","0","28980","7400","8685","0","0","34073","25433","21261","26978","0","0","0","0","0","0","0"
"Different State","60622","0","0","12255","0","0","13313","0","22171","0","0","0","0","0","2785","0","0","0","7398","2700","0","0"
"Same County","246884","0","5302","23470","5942","5326","0","8167","15700","0","0","65873","98918","7547","10639","0","0","0","0","0","0","0"
" -> Total -> Total New Mexico","1975106","1771899","671","18010","36395","6110","50186","1640","2864","0","1161","15549","17893","4007","14350","0","10295","14151","528","6402","0","2995"
"Not Elsewhere Classified","1781120","1771899","0","1446","0","0","3855","0","0","0","0","0","0","0","0","0","0","3920","0","0","0","0"
"Different County, Same State","17802","0","0","0","8573","0","4165","0","0","0","0","0","1050","0","0","0","510","2558","0","946","0","0"
"Different State","51618","0","671","561","6196","0","29929","0","560","0","1161","3256","1662","0","2346","0","1553","1521","528","1674","0","0"
"Same County","124566","0","0","16003","21626","6110","12237","1640","2304","0","0","12293","15181","4007","12004","0","8232","6152","0","3782","0","2995"
" -> Total -> Total New York","18419632","17137786","69159","99817","145375","119989","142909","4291","57553","7255","4411","39669","240609","50468","115569","31051","44681","52982","0","10786","0","45272"
"Not Elsewhere Classified","17254270","17137786","0","4898","22917","4898","58844","0","0","0","0","0","0","0","0","0","5206","6759","0","0","0","12962"
"Different County, Same State","305050","0","14531","35126","24652","35513","26334","0","0","0","0","3773","40756","11957","63153","9793","20873","9783","0","2073","0","6733"
"Different State","164660","0","8380","0","11819","11118","48515","0","19572","0","4411","0","7949","2709","0","0","4776","36440","0","2567","0","6404"
"Same County","695652","0","46248","59793","85987","68460","9216","4291","37981","7255","0","35896","191904","35802","52416","21258","13826","0","0","6146","0","19173"
" -> Total -> Total North Carolina","10355416","9235026","15525","165655","112505","71572","176959","3840","42665","12118","0","159937","126014","61521","17597","4516","76057","25943","0","29799","0","18167"
"Not Elsewhere Classified","9259346","9235026","0","0","5869","0","0","0","0","0","0","0","0","18451","0","0","0","0","0","0","0","0"
"Different County, Same State","230646","0","0","32281","7564","7262","45961","3840","0","0","0","22123","15383","12104","0","0","37965","13423","0","25594","0","7146"
"Different State","285338","0","5403","18473","50424","19718","113014","0","11789","12118","0","6803","27461","0","17597","0","0","0","0","0","0","2538"
"Same County","580086","0","10122","114901","48648","44592","17984","0","30876","0","0","131011","83170","30966","0","4516","38092","12520","0","4205","0","8483"
" -> Total -> Total North Dakota","740379","658301","7552","8226","6357","3657","8660","3159","4535","1295","0","3817","19255","0","2529","370","3626","5375","0","1343","1549","773"
"Not Elsewhere Classified","658568","658301","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","267"
"Different County, Same State","17734","0","0","1229","654","363","2083","922","3333","0","0","0","2885","0","0","0","2762","2509","0","0","994","0"
"Different State","8350","0","1969","0","1119","724","1445","517","0","0","0","0","1367","0","422","0","0","585","0","0","0","202"
"Same County","55727","0","5583","6997","4584","2570","5132","1720","1202","1295","0","3817","15003","0","2107","370","864","2281","0","1343","555","304"
" -> Total -> Total Ohio","11240871","10186984","122273","164371","82494","42071","75414","55226","44465","0","22063","71056","89033","41886","114466","0","47309","29461","0","20317","0","31982"
"Not Elsewhere Classified","10202790","10186984","0","0","0","0","5673","5952","0","0","0","4181","0","0","0","0","0","0","0","0","0","0"
"Different County, Same State","281706","0","33870","24877","55110","18657","31571","0","15226","0","0","5096","27266","18717","17390","0","0","4619","0","0","0","29307"
"Different State","124122","0","6004","0","11350","0","26753","46649","0","0","22063","9512","0","0","0","0","0","0","0","1791","0","0"
"Same County","632253","0","82399","139494","16034","23414","11417","2625","29239","0","0","52267","61767","23169","97076","0","47309","24842","0","18526","0","2675"
" -> Total -> Total Oklahoma","3813003","3434806","35277","39973","40122","13017","50617","0","9155","6923","3150","13091","53485","7445","33191","0","58367","9722","0","3336","0","1326"
"Not Elsewhere Classified","3438491","3434806","2359","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1326"
"Different County, Same State","113038","0","15579","7399","8013","4734","21953","0","4049","0","3150","7616","6970","1961","13705","0","13142","2590","0","2177","0","0"
"Different State","55156","0","0","3710","19845","0","20581","0","0","4346","0","0","0","0","5566","0","0","1108","0","0","0","0"
"Same County","206318","0","17339","28864","12264","8283","8083","0","5106","2577","0","5475","46515","5484","13920","0","45225","6024","0","1159","0","0"
" -> Total -> Total Oregon","4107037","3565539","28586","72357","36438","37455","47427","8847","15924","9767","0","24635","91115","4919","44149","0","46532","22424","2840","13545","0","34538"
"Not Elsewhere Classified","3579700","3565539","0","0","2533","1975","6444","0","0","0","0","0","0","0","0","0","0","2281","928","0","0","0"
"Different County, Same State","116277","0","6961","27435","4664","7535","3330","0","3721","4052","0","0","30195","0","0","0","15397","3775","0","0","0","9212"
"Different State","130238","0","0","4858","8375","4684","34597","1010","6088","5715","0","0","2900","0","6924","0","9498","16368","1912","8773","0","18536"
"Same County","280822","0","21625","40064","20866","23261","3056","7837","6115","0","0","24635","58020","4919","37225","0","21637","0","0","4772","0","6790"
" -> Total -> Total Pennsylvania","12227326","11348094","21780","72136","42761","65967","171712","11494","21610","38703","2225","88555","174376","38293","37040","16297","10985","9421","0","23594","7369","24914"
"Not Elsewhere Classified","11348094","11348094","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Different County, Same State","272768","0","0","11633","3257","33994","90086","0","11358","6444","0","21293","24745","0","21961","9286","4479","9421","0","12104","0","12707"
"Different State","138437","0","0","10479","24077","4531","58132","7672","0","4153","0","9288","3195","16910","0","0","0","0","0","0","0","0"
"Same County","468027","0","21780","50024","15427","27442","23494","3822","10252","28106","2225","57974","146436","21383","15079","7011","6506","0","0","11490","7369","12207"
