Source: CPS Annual Social and Economic (March) Supplement 202103
Weight used: FSUP_WGT
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming"
"","main reason for moving (NXTRES)","","","","","","","","","","","","","","","","","","","","",""
"Not Elsewhere Classified","2581196","2581196","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Different County, Same State","86129","0","0","8534","7302","2509","16556","0","1648","0","1841","2885","10014","8429","17735","0","3253","4443","0","0","0","980"
"Different State","47840","0","0","4054","0","2802","14017","1718","0","6904","0","0","3294","0","8646","0","2798","2262","0","1345","0","0"
"Same County","183687","0","3550","31532","11425","11400","3398","0","0","0","0","4332","39438","27891","15640","0","25561","0","0","1322","3759","4439"
" -> Total -> Total California","37969494","35515584","68881","219980","277494","58293","155369","39735","97924","13513","0","199518","535939","117356","336153","4392","81166","122179","18388","52825","0","54805"
"Not Elsewhere Classified","35563170","35515584","0","2493","19996","0","7598","0","0","0","0","3759","0","0","0","0","0","8750","0","0","0","4990"
"Different County, Same State","392961","0","2431","25174","53796","6094","40381","14704","10175","0","0","40109","45248","18691","76555","0","13257","20760","0","4095","0","21491"
"Different State","257589","0","2282","4438","83853","6801","84341","8947","0","0","0","0","5980","6219","9097","4392","6732","0","1731","28273","0","4503"
"Same County","1755774","0","64168","187875","119849","45398","23049","16084","87749","13513","0","155650","484711","92446","250501","0","61177","92669","16657","20457","0","23821"
" -> Total -> Total Colorado","5720866","5165150","40683","45071","38757","50396","127952","2495","10022","6817","0","17918","63232","47412","45418","0","22457","3256","0","0","0","33830"
"Not Elsewhere Classified","5165150","5165150","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Different County, Same State","126021","0","17264","7800","5629","3068","5020","0","3068","6817","0","0","15155","39811","2200","0","0","0","0","0","0","20189"
"Different State","182809","0","23419","5707","18803","0","104851","2495","0","0","0","0","6762","0","7555","0","4047","3256","0","0","0","5914"
"Same County","246886","0","0","31564","14325","47328","18081","0","6954","0","0","17918","41315","7601","35663","0","18410","0","0","0","0","7727"
" -> Total -> Total Connecticut","3344923","2895526","69055","83102","29133","7341","26322","0","8115","0","0","34520","52710","13693","69941","0","12368","15341","27756","0","0","0"
"Not Elsewhere Classified","2895526","2895526","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Different County, Same State","59709","0","19052","6707","0","0","1127","0","6535","0","0","6743","0","0","0","0","6480","0","13065","0","0","0"
"Different State","64240","0","3136","10451","2974","0","18686","0","0","0","0","16635","6456","0","0","0","0","0","5902","0","0","0"
"Same County","325448","0","46867","65944","26159","7341","6509","0","1580","0","0","11142","46254","13693","69941","0","5888","15341","8789","0","0","0"
" -> Total -> Total Delaware","932782","858415","1816","7015","5536","1303","6577","0","351","0","0","4738","21595","4722","5219","0","2060","0","0","4015","0","9420"
"Not Elsewhere Classified","858415","858415","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Different County, Same State","4030","0","0","1310","0","1303","0","0","0","0","0","0","0","1417","0","0","0","0","0","0","0","0"
"Different State","13864","0","0","499","1251","0","4962","0","0","0","0","0","0","424","4122","0","2060","0","0","0","0","546"
"Same County","56473","0","1816","5206","4285","0","1615","0","351","0","0","4738","21595","2881","1097","0","0","0","0","4015","0","8874"
" -> Total -> Total District of Columbia","670845","583038","2174","5480","2691","4002","15046","842","4659","0","2420","3601","13378","7244","4910","0","7308","10110","0","1464","528","1950"
"Not Elsewhere Classified","588430","583038","337","0","0","510","2442","0","0","0","647","0","0","314","0","0","0","1142","0","0","0","0"
"Different County, Same State","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Different State","25938","0","329","0","2691","1201","11995","416","1827","0","411","419","0","1397","0","0","0","4765","0","0","0","487"
"Same County","56477","0","1508","5480","0","2291","609","426","2832","0","1362","3182","13378","5533","4910","0","7308","4203","0","1464","528","1463"
" -> Total -> Total Florida","21367867","19560117","56052","192766","240397","77120","166736","17459","128950","25968","14022","121840","247644","69283","178127","16808","116555","13527","15759","44280","7046","57411"
"Not Elsewhere Classified","19601233","19560117","2514","0","4458","2154","0","15833","0","0","0","0","0","0","0","0","0","0","2117","0","3737","10303"
"Different County, Same State","386473","0","23821","44334","99459","11378","38665","0","25296","7021","0","30634","24292","11371","26247","0","27983","5224","3124","0","0","7624"
"Different State","270205","0","4483","10775","26542","9112","71969","1626","3139","12048","14022","4086","13666","17827","0","0","9206","3793","10518","42416","0","14977"
"Same County","1109956","0","25234","137657","109938","54476","56102","0","100515","6899","0","87120","209686","40085","151880","16808","79366","4510","0","1864","3309","24507"
" -> Total -> Total Georgia","10309350","9454679","107110","93607","47343","18888","102567","12901","33907","7162","5587","62762","124491","27724","97292","4280","30598","41640","0","1690","0","35122"
"Not Elsewhere Classified","9478269","9454679","0","0","0","0","20792","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2798"
"Different County, Same State","231945","0","55797","29758","6899","2229","8349","0","10518","0","0","17602","25609","3538","45526","0","10474","12822","0","0","0","2824"
"Different State","130061","0","11328","14864","9229","0","45387","12901","0","7162","0","7383","0","0","15242","4280","0","2285","0","0","0","0"
"Same County","469075","0","39985","48985","31215","16659","28039","0","23389","0","5587","37777","98882","24186","36524","0","20124","26533","0","1690","0","29500"
" -> Total -> Total Hawaii","1358786","1241156","5973","3812","12876","796","24823","2234","2245","0","0","7266","11993","2472","7889","0","25978","0","0","3343","0","5930"
"Not Elsewhere Classified","1245948","1241156","0","0","0","0","3454","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1338"
"Different County, Same State","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Different State","25517","0","519","0","1984","0","15538","2234","0","0","0","2146","0","0","529","0","0","0","0","2567","0","0"
"Same County","87321","0","5454","3812","10892","796","5831","0","2245","0","0","5120","11993","2472","7360","0","25978","0","0","776","0","4592"
" -> Total -> Total Idaho","1812134","1546974","7609","32662","19227","5742","33657","5534","22656","8153","785","41048","37788","11495","8835","9393","6518","3971","0","1654","0","8433"
"Not Elsewhere Classified","1547392","1546974","418","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Different County, Same State","56488","0","583","12039","1570","0","12204","0","6216","0","785","7696","9474","438","0","0","1416","1158","0","0","0","2909"
"Different State","48183","0","1061","1061","9025","2734","14266","1757","2624","432","0","0","3078","5279","791","0","0","1628","0","0","0","4447"
"Same County","160071","0","5547","19562","8632","3008","7187","3777","13816","7721","0","33352","25236","5778","8044","9393","5102","1185","0","1654","0","1077"
" -> Total -> Total Illinois","12180539","11072913","9740","73216","75270","85446","101077","0","25498","0","6701","60337","305577","33349","92088","11881","71765","55654","0","81173","0","18854"
"Not Elsewhere Classified","11105521","11072913","0","0","0","5630","22327","0","0","0","4651","0","0","0","0","0","0","0","0","0","0","0"
"Different County, Same State","211445","0","6286","23829","13790","25736","59673","0","0","0","0","4393","48130","0","0","6953","7976","14679","0","0","0","0"
"Different State","136101","0","3454","16516","6984","9580","16665","0","0","0","2050","0","0","0","11008","4928","10489","25318","0","26098","0","3011"
"Same County","727472","0","0","32871","54496","44500","2412","0","25498","0","0","55944","257447","33349","81080","0","53300","15657","0","55075","0","15843"
" -> Total -> Total Indiana","6645598","6147259","25955","41471","39102","10733","10978","0","3678","0","0","40547","186185","24322","44964","0","54724","0","0","2215","0","13465"
"Not Elsewhere Classified","6152569","6147259","0","0","0","0","5310","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Different County, Same State","159668","0","0","11767","14082","4863","0","0","3678","0","0","8633","55217","0","28940","0","32488","0","0","0","0","0"
"Different State","49536","0","0","0","22474","0","0","0","0","0","0","0","1772","15778","9512","0","0","0","0","0","0","0"
"Same County","283825","0","25955","29704","2546","5870","5668","0","0","0","0","31914","129196","8544","6512","0","22236","0","0","2215","0","13465"
" -> Total -> Total Iowa","3139321","2891985","0","19463","4219","0","42851","0","9974","0","0","17429","53672","33768","5100","12078","17471","7741","0","6137","0","17433"
"Not Elsewhere Classified","2894383","2891985","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2398","0","0","0","0"
"Different County, Same State","70334","0","0","1741","1703","0","14223","0","2109","0","0","1350","19242","10310","0","6805","0","5343","0","0","0","7508"
"Different State","34878","0","0","2541","2516","0","18110","0","1621","0","0","0","0","3798","0","0","2672","0","0","0","0","3620"
"Same County","139726","0","0","15181","0","0","10518","0","6244","0","0","16079","34430","19660","5100","5273","14799","0","0","6137","0","6305"
" -> Total -> Total Kansas","2821205","2507258","3575","25063","34523","14758","23255","0","14083","7720","0","32785","70118","0","46265","0","37808","3994","0","0","0","0"
"Not Elsewhere Classified","2508184","2507258","0","0","0","0","0","0","0","0","0","0","926","0","0","0","0","0","0","0","0","0"
"Different County, Same State","77615","0","0","5756","14136","6187","5595","0","1145","0","0","0","24549","0","12412","0","6570","1265","0","0","0","0"
"Different State","39596","0","0","0","1853","0","9483","0","0","7720","0","4342","0","0","10253","0","3216","2729","0","0","0","0"
"Same County","195810","0","3575","19307","18534","8571","8177","0","12938","0","0","28443","44643","0","23600","0","28022","0","0","0","0","0"
" -> Total -> Total Kentucky","4421099","4013103","12869","33739","28587","17965","47411","7519","0","0","0","18756","54753","28771","47710","0","21754","7677","0","11412","0","69073"
"Not Elsewhere Classified","4078749","4013103","0","0","0","0","0","4708","0","0","0","0","0","0","0","0","0","0","0","0","0","60938"
"Different County, Same State","77877","0","0","16121","13712","8654","3647","2811","0","0","0","0","0","7337","8106","0","6354","0","0","9234","0","1901"
"Different State","79906","0","0","0","10252","0","34989","0","0","0","0","3408","0","12517","15980","0","2760","0","0","0","0","0"
"Same County","184567","0","12869","17618","4623","9311","8775","0","0","0","0","15348","54753","8917","23624","0","12640","7677","0","2178","0","6234"
" -> Total -> Total Louisiana","4440212","4038717","10399","32973","32833","15039","21479","5447","27075","5440","7907","23190","110530","33325","28617","6411","8309","990","0","5891","19272","6368"
"Not Elsewhere Classified","4043336","4038717","0","0","0","0","0","0","0","0","4619","0","0","0","0","0","0","0","0","0","0","0"
"Different County, Same State","112218","0","2348","7160","14532","6340","7165","0","3474","0","0","2852","35783","11961","3041","3005","1906","0","0","0","12651","0"
"Different State","35175","0","1596","3720","7061","0","13401","1628","1760","4347","0","0","0","0","0","0","0","990","0","0","0","672"
"Same County","249483","0","6455","22093","11240","8699","913","3819","21841","1093","3288","20338","74747","21364","25576","3406","6403","0","0","5891","6621","5696"
" -> Total -> Total Maine","1359652","1268314","4664","5026","6938","4181","14029","0","3105","5714","0","8445","1262","2875","17959","0","6167","0","5140","0","0","5833"
"Not Elsewhere Classified","1268975","1268314","0","0","661","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Different County, Same State","15842","0","1019","1020","0","970","2193","0","0","0","0","0","0","2875","6710","0","0","0","0","0","0","1055"
"Different State","23328","0","0","0","1577","0","11836","0","0","5714","0","0","0","0","0","0","4201","0","0","0","0","0"
"Same County","51507","0","3645","4006","4700","3211","0","0","3105","0","0","8445","1262","0","11249","0","1966","0","5140","0","0","4778"
" -> Total -> Total Maryland","5796033","5331199","26044","55924","61773","5789","61625","2368","9793","0","0","86585","51643","33372","10197","0","19986","24942","0","0","0","14793"
"Not Elsewhere Classified","5334114","5331199","0","0","0","2915","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Different County, Same State","122694","0","0","22892","0","0","11563","2368","9793","0","0","13596","22268","0","7876","0","0","24942","0","0","0","7396"
"Different State","101955","0","4378","0","29858","2874","34156","0","0","0","0","11714","0","11578","0","0","0","0","0","0","0","7397"
"Same County","237270","0","21666","33032","31915","0","15906","0","0","0","0","61275","29375","21794","2321","0","19986","0","0","0","0","0"
" -> Total -> Total Massachusetts","6764493","6163911","11734","62791","44527","7804","28657","3029","58011","8146","0","28846","177074","60840","27986","4592","1341","15546","0","0","0","59658"
"Not Elsewhere Classified","6205111","6163911","0","0","6752","0","2419","0","0","0","0","0","6847","18169","0","0","0","0","0","0","0","7013"
"Different County, Same State","146702","0","3523","34809","8214","0","4166","0","15219","0","0","4703","47583","5597","7782","0","0","8490","0","0","0","6616"
"Different State","35767","0","0","0","6689","0","9936","0","6974","3294","0","0","2252","0","0","0","0","5044","0","0","0","1578"
"Same County","376913","0","8211","27982","22872","7804","12136","3029","35818","4852","0","24143","120392","37074","20204","4592","1341","2012","0","0","0","44451"
" -> Total -> Total Michigan","9571314","8824277","32213","186918","45929","30753","44108","2237","32282","16661","0","50030","91482","14680","14847","15604","92291","33087","0","3428","7985","32502"
"Not Elsewhere Classified","8824277","8824277","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Different County, Same State","189302","0","9845","30381","5977","10222","18987","2237","15350","6567","0","0","7763","0","10729","8465","34056","20500","0","0","0","8223"
"Different State","71513","0","8513","9163","3204","0","14852","0","0","0","0","0","0","14680","4118","7139","1859","0","0","0","7985","0"
"Same County","486222","0","13855","147374","36748","20531","10269","0","16932","10094","0","50030","83719","0","0","0","56376","12587","0","3428","0","24279"
" -> Total -> Total Minnesota","5384950","4895533","65986","67742","12172","14933","27662","4060","7935","3312","0","57113","76627","66425","14462","0","8144","25061","0","22085","0","15698"
"Not Elsewhere Classified","4897969","4895533","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2436"
"Different County, Same State","204056","0","53786","31507","8494","0","14475","0","7935","3312","0","8863","33132","25002","10390","0","0","4151","0","3009","0","0"
"Different State","50958","0","0","10766","3678","3844","13187","4060","0","0","0","2161","0","0","0","0","0","0","0","0","0","13262"
"Same County","231967","0","12200","25469","0","11089","0","0","0","0","0","46089","43495","41423","4072","0","8144","20910","0","19076","0","0"
" -> Total -> Total Mississippi","2846623","2641792","29033","30500","18661","8733","3374","0","6100","3192","1311","17815","30144","22472","13433","1268","10110","4130","0","591","1129","2835"
"Not Elsewhere Classified","2641792","2641792","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Different County, Same State","48144","0","12299","10817","6277","0","784","0","2233","593","0","0","3351","6275","0","0","2775","1200","0","591","0","949"
"Different State","26460","0","0","4213","4522","1211","1206","0","1421","2599","0","0","0","2841","4164","1268","0","0","0","0","1129","1886"
"Same County","130227","0","16734","15470","7862","7522","1384","0","2446","0","1311","17815","26793","13356","9269","0","7335","2930","0","0","0","0"
" -> Total -> Total Missouri","5913778","5404496","20248","75832","79043","30473","29740","9458","37795","3423","3154","23319","37696","6911","61287","6336","61370","11544","0","0","0","11653"
"Not Elsewhere Classified","5404496","5404496","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Different County, Same State","182730","0","11213","21296","26217","16866","12515","7621","23293","0","3154","0","23188","6911","10742","0","8170","11544","0","0","0","0"
"Different State","91886","0","2259","13464","25698","0","17225","0","8090","0","0","0","0","0","11640","0","8985","0","0","0","0","4525"
"Same County","234666","0","6776","41072","27128","13607","0","1837","6412","3423","0","23319","14508","0","38905","6336","44215","0","0","0","0","7128"
" -> Total -> Total Montana","1061883","939622","4372","25590","13242","5630","12401","3229","5180","1879","2065","14400","10139","2409","6591","0","3568","4149","0","2749","0","4668"
"Not Elsewhere Classified","939893","939622","0","0","0","0","271","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Different County, Same State","10741","0","392","3489","3581","557","1540","0","0","0","0","429","0","0","0","0","301","452","0","0","0","0"
"Different State","25464","0","0","1247","5288","2182","10590","494","768","921","0","0","0","1874","496","0","0","700","0","0","0","904"
"Same County","85785","0","3980","20854","4373","2891","0","2735","4412","958","2065","13971","10139","535","6095","0","3267","2997","0","2749","0","3764"
" -> Total -> Total Nebraska","1940516","1761053","10239","17612","23228","6586","10958","1465","6438","0","0","30620","13289","1092","27950","0","22693","5695","1598","0","0","0"
"Not Elsewhere Classified","1767683","1761053","0","0","6630","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Different County, Same State","36772","0","4170","1465","10534","1441","3702","1465","1168","0","0","0","0","0","5337","0","4569","2921","0","0","0","0"
"Different State","20762","0","0","0","3921","1522","7256","0","0","0","0","995","0","0","2136","0","560","2774","1598","0","0","0"
"Same County","115299","0","6069","16147","2143","3623","0","0","5270","0","0","29625","13289","1092","20477","0","17564","0","0","0","0","0"
" -> Total -> Total Nevada","3091343","2728583","8523","20349","38018","9199","39233","27931","13550","2430","0","18885","37175","30332","79576","2182","4886","8372","8612","0","0","13507"
"Not Elsewhere Classified","2728583","2728583","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Different County, Same State","8282","0","0","0","0","1129","0","0","0","0","0","0","0","7153","0","0","0","0","0","0","0","0"
"Different State","149711","0","2246","6325","11705","0","32368","27931","2016","2430","0","0","0","9313","24967","0","1780","6511","8612","0","0","13507"
"Same County","204767","0","6277","14024","26313","8070","6865","0","11534","0","0","18885","37175","13866","54609","2182","3106","1861","0","0","0","0"
" -> Total -> Total New Hampshire","1366185","1298233","1490","22826","3522","3601","4197","0","2270","0","0","5582","1038","5718","4672","1645","7094","0","0","1636","0","2661"
"Not Elsewhere Classified","1298233","1298233","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Different County, Same State","12700","0","0","6121","548","548","403","0","1235","0","0","2200","0","0","0","1645","0","0","0","0","0","0"
"Different State","19560","0","0","2700","848","2619","2251","0","0","0","0","2095","0","2994","1756","0","0","0","0","1636","0","2661"
"Same County","35692","0","1490","14005","2126","434","1543","0","1035","0","0","1287","1038","2724","2916","0","7094","0","0","0","0","0"
" -> Total -> Total New Jersey","8340404","7863199","12583","67701","23837","13045","24992","4057","7473","0","0","87590","155794","22445","23124","0","0","10835","6582","2061","0","15086"
"Not Elsewhere Classified","7865573","7863199","0","2374","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Different County, Same State","126958","0","1843","41579","8823","0","8244","0","0","0","0","22885","30541","9014","4029","0","0","0","0","0","0","0"
"Different State","76625","0","0","6725","0","0","7486","4057","0","0","0","25581","12186","3173","0","0","0","10835","6582","0","0","0"
"Same County","271248","0","10740","17023","15014","13045","9262","0","7473","0","0","39124","113067","10258","19095","0","0","0","0","2061","0","15086"
" -> Total -> Total New Mexico","1971549","1775947","11556","36654","18925","11493","15096","2477","4471","2806","0","7036","21624","21176","10814","1066","5101","2230","0","3365","0","19712"
"Not Elsewhere Classified","1779548","1775947","0","1113","0","0","1114","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1374"
"Different County, Same State","13438","0","2180","3051","1997","826","1222","0","0","897","0","0","0","0","0","1066","999","0","0","0","0","1200"
"Different State","37736","0","1057","3461","7927","2454","6695","2477","0","0","0","0","0","2261","4453","0","0","937","0","3365","0","2649"
"Same County","140827","0","8319","29029","9001","8213","6065","0","4471","1909","0","7036","21624","18915","6361","0","4102","1293","0","0","0","14489"
" -> Total -> Total New York","18094345","16912353","14119","164703","120637","20053","63352","0","80698","0","4398","143259","181768","60523","33409","0","89200","25129","18898","7714","0","154132"
"Not Elsewhere Classified","16931246","16912353","0","0","0","0","0","0","0","0","0","0","7723","0","6798","0","0","4372","0","0","0","0"
"Different County, Same State","484634","0","4280","59210","82794","6272","32531","0","24267","0","0","82863","30132","45775","14396","0","13085","2462","0","0","0","86567"
"Different State","111098","0","9839","32943","0","0","22927","0","3006","0","0","0","0","0","0","0","17710","5775","18898","0","0","0"
"Same County","567367","0","0","72550","37843","13781","7894","0","53425","0","4398","60396","143913","14748","12215","0","58405","12520","0","7714","0","67565"
" -> Total -> Total North Carolina","10276926","9393444","12290","143952","54756","76034","126344","22012","1963","10920","2172","8401","182785","52294","49389","0","65126","38750","10733","3886","0","21675"
"Not Elsewhere Classified","9431346","9393444","0","0","4849","17185","14060","0","0","0","0","0","1808","0","0","0","0","0","0","0","0","0"
"Different County, Same State","257513","0","7562","21425","30861","42663","24149","0","0","0","0","0","56682","20881","9585","0","26630","13127","0","0","0","3948"
"Different State","189063","0","0","4786","14574","8895","73442","0","0","10920","2172","0","28303","0","16037","0","0","3796","10733","0","0","15405"
"Same County","399004","0","4728","117741","4472","7291","14693","22012","1963","0","0","8401","95992","31413","23767","0","38496","21827","0","3886","0","2322"
" -> Total -> Total North Dakota","753511","673253","4611","11961","7799","2477","5287","1875","5876","413","0","2286","12924","1648","8747","1984","7160","1965","0","1183","0","2062"
"Not Elsewhere Classified","675600","673253","0","356","356","0","0","0","0","0","0","0","445","0","0","0","0","0","0","0","0","1190"
"Different County, Same State","7093","0","350","352","288","0","0","480","620","0","0","399","1830","0","1015","0","1011","0","0","748","0","0"
"Different State","19658","0","214","1460","959","1663","4583","1395","779","413","0","0","0","1143","4287","0","850","1477","0","435","0","0"
"Same County","51160","0","4047","9793","6196","814","704","0","4477","0","0","1887","10649","505","3445","1984","5299","488","0","0","0","872"
" -> Total -> Total Ohio","11358234","10379538","30158","103399","221279","23828","39399","0","7027","6680","0","68359","225416","28983","47065","0","91641","27948","0","13898","0","43616"
"Not Elsewhere Classified","10385560","10379538","0","3888","0","0","2134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Different County, Same State","238366","0","0","22429","72533","8506","16823","0","0","0","0","9335","40717","0","21818","0","7155","5205","0","3655","0","30190"
"Different State","134501","0","12762","5694","41546","12714","15917","0","0","0","0","0","0","0","0","0","12509","22743","0","7571","0","3045"
"Same County","599807","0","17396","71388","107200","2608","4525","0","7027","6680","0","59024","184699","28983","25247","0","71977","0","0","2672","0","10381"
" -> Total -> Total Oklahoma","3848613","3533254","18787","18041","48467","12910","23307","4439","0","0","0","29541","82547","14343","17507","0","16572","0","0","6724","2130","20044"
"Not Elsewhere Classified","3535667","3533254","0","0","1201","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1212"
"Different County, Same State","46917","0","0","4628","12077","1232","2192","4439","0","0","0","8946","3605","6471","0","0","0","0","0","0","0","3327"
"Different State","44401","0","0","0","4402","1901","18744","0","0","0","0","1762","0","0","10028","0","0","0","0","1236","2130","4198"
"Same County","221628","0","18787","13413","30787","9777","2371","0","0","0","0","18833","78942","7872","7479","0","16572","0","0","5488","0","11307"
" -> Total -> Total Oregon","4057900","3551918","52439","33519","37617","25334","25909","10721","37023","0","1942","36619","88433","35631","41542","0","18399","27515","2358","0","11239","19742"
"Not Elsewhere Classified","3553617","3551918","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1699"
"Different County, Same State","91520","0","2192","3296","2705","6158","10083","0","13325","0","1942","1370","15093","13430","15424","0","0","5051","0","0","0","1451"
"Different State","109410","0","15155","3889","24963","3079","15826","2551","4551","0","0","1329","4564","8267","0","0","0","20910","2358","0","0","1968"
"Same County","303353","0","35092","26334","9949","16097","0","8170","19147","0","0","33920","68776","13934","26118","0","18399","1554","0","0","11239","14624"
" -> Total -> Total Pennsylvania","12069474","11212422","73371","62968","53798","47834","24078","0","11960","20774","0","48509","141217","92834","69746","0","72492","26712","0","35845","8432","66482"
"Not Elsewhere Classified","11221147","11212422","0","0","0","0","4089","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4636"
"Different County, Same State","233691","0","42208","20050","6724","23112","0","0","8003","3072","0","12733","16907","22897","21860","0","29896","4478","0","7744","0","14007"
"Different State","128748","0","3011","0","0","4043","15647","0","0","10744","0","0","32610","19559","20655","0","0","3029","0","0","8432","11018"
"Same County","485888","0","28152","42918","47074","20679","4342","0","3957","6958","0","35776","91700","50378","27231","0","42596","19205","0","28101","0","36821"
" -> Total -> Total Rhode Island","1064075","968246","3375","9246","7070","8931","12913","3063","4338","0","1002","14493","22761","2177","1300","0","3280","0","0","0","0","1880"
